Date,ChinaMXP
1/1/2015,103.5
2/1/2015,103.4
3/1/2015,103.3
4/1/2015,103.3
5/1/2015,103
6/1/2015,102.9
7/1/2015,102.7
8/1/2015,102.6
9/1/2015,102.4
10/1/2015,102.3
11/1/2015,102
12/1/2015,101.9
1/1/2016,101.8
2/1/2016,101.6
3/1/2016,101.4
4/1/2016,101.3
5/1/2016,101.2
6/1/2016,101
7/1/2016,101
8/1/2016,100.8
9/1/2016,100.7
10/1/2016,100.6
11/1/2016,100.2
12/1/2016,100.2
1/1/2017,99.9
2/1/2017,100
3/1/2017,100.2
4/1/2017,100.1
5/1/2017,100.1
6/1/2017,100
7/1/2017,100.1
8/1/2017,100.1
9/1/2017,99.8
10/1/2017,99.8
11/1/2017,100.1
12/1/2017,100.1
1/1/2018,100.1
2/1/2018,100.2
3/1/2018,100.4
4/1/2018,100.4
5/1/2018,100.5
6/1/2018,100.5
7/1/2018,100.4
8/1/2018,100.2
9/1/2018,100.2
10/1/2018,100
11/1/2018,99.9
12/1/2018,99.9
1/1/2019,99.6
2/1/2019,99.4
3/1/2019,99.4
4/1/2019,99.2
5/1/2019,99.1
6/1/2019,98.9
7/1/2019,98.7
8/1/2019,98.5
9/1/2019,98.3
10/1/2019,98.2
11/1/2019,98
12/1/2019,98.2
1/1/2020,98.2
2/1/2020,98
3/1/2020,98
4/1/2020,98.1
5/1/2020,98
6/1/2020,98
7/1/2020,98.2
8/1/2020,98.3
9/1/2020,98.3
10/1/2020,98.2
11/1/2020,98.3
12/1/2020,98.7
1/1/2021,99.1
2/1/2021,99.4
3/1/2021,99.8
4/1/2021,100.2
5/1/2021,100.6
6/1/2021,101
7/1/2021,101.7
8/1/2021,102
9/1/2021,102.2
10/1/2021,102.5
11/1/2021,102.7
12/1/2021,103.4
1/1/2022,103.9
2/1/2022,104.2
3/1/2022,104.7
4/1/2022,104.8
5/1/2022,104.6
6/1/2022,104.3
7/1/2022,104.2
8/1/2022,104.1
9/1/2022,104.1
10/1/2022,104.5
11/1/2022,104.4
12/1/2022,104.2
1/1/2023,103.7
2/1/2023,103.6
3/1/2023,103.1
4/1/2023,102.7
5/1/2023,102.4
6/1/2023,102
7/1/2023,101.7
8/1/2023,101.7
9/1/2023,101.5
10/1/2023,101.4
11/1/2023,101.1
12/1/2023,101
1/1/2024,100.6
2/1/2024,100.5
3/1/2024,100.5
4/1/2024,100.5
5/1/2024,100.5
6/1/2024,100.5
7/1/2024,100.4
8/1/2024,100.4
9/1/2024,100.4
10/1/2024,100.4
11/1/2024,100.4
12/1/2024,100.3
1/1/2025,100.6
